#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
296796:5830,06/14/17 13:03:28,108,104,0.009328515,0.006715096
296797:5830,06/14/17 13:45:15,26,16,0.002467180,0.001279266
296798:5830,06/14/17 13:55:22,9,4,0.000847299,0.000046982
296799:5830,06/14/17 13:58:33,17,6,0.001591211,0.000252365
296800:5830,06/14/17 14:04:53,20,16,0.001857825,0.001125533
296801:5830,06/14/17 14:12:18,17,6,0.001566936,0.000437683
296802:5830,06/14/17 14:18:49,21,16,0.001919823,0.001219651
296864:5833,06/14/17 19:46:34,18,5,0.000000167,0.000000011
296865:5833,06/14/17 19:52:57,6,2,0.000000058,0
296866:5833,06/14/17 19:55:15,79,67,0.007802320,0.004661630
296867:5833,06/14/17 20:25:58,147,136,0.019457649,0.015120733
296868:5833,06/14/17 21:22:59,30,18,0.003814271,0.001843630
296869:5833,06/14/17 21:34:17,27,16,0.003362963,0.001622163
296870:5833,06/14/17 21:44:46,28,17,0.003462818,0.001609646
296871:5833,06/14/17 21:55:21,29,17,0.003537461,0.001632617
296872:5833,06/14/17 22:06:32,27,16,0.003247851,0.001496461
296873:5833,06/14/17 22:17:03,27,16,0.003206012,0.001486567
296874:5833,06/14/17 22:27:29,27,16,0.003146992,0.001555883
296875:5833,06/14/17 22:37:54,26,15,0.003011532,0.001343011
296876:5833,06/14/17 22:47:49,27,16,0.003090369,0.001484359
296877:5833,06/14/17 22:58:01,31,19,0.003480376,0.001512554
296878:5833,06/14/17 23:09:46,29,15,0.003228278,0.001373089
296879:5833,06/14/17 23:20:57,25,17,0.002751910,0.001584285
296880:5833,06/14/17 23:30:23,45,39,0.004879316,0.004109495
296881:5833,06/14/17 23:47:42,10,10,0.000797817,0.000790631
296885:5834,06/15/17 04:06:27,9,0,0.000000084,0
296886:5834,06/15/17 04:09:44,11,5,0.000000106,0
296887:5834,06/15/17 04:13:51,426,420,0.051811032,0.047886537
296888:5834,06/15/17 06:59:01,213,207,0.023264741,0.020176856
296889:5834,06/15/17 08:21:38,36,25,0.003720193,0.002480028
296890:5834,06/15/17 08:35:17,15,4,0.001533333,0
296891:5834,06/15/17 08:41:01,25,14,0.002533054,0
296892:5834,06/15/17 08:50:25,17,4,0.001707925,0
296893:5834,06/15/17 08:56:51,42,20,0.004169511,0
296894:5834,06/15/17 09:13:06,9,5,0.000884466,0.000000002
296895:5834,06/15/17 09:16:30,36,17,0.003491580,0.000588029
296897:5834,06/15/17 09:30:30,75,64,0.007159786,0.005519403
296898:5834,06/15/17 09:59:30,45,34,0.004192120,0.002985327
296899:5834,06/15/17 10:16:52,27,16,0.002477065,0.001319452
296900:5834,06/15/17 10:27:07,43,31,0.003882866,0.002671559
296901:5834,06/15/17 10:43:32,29,17,0.002579272,0.001453905
296902:5834,06/15/17 10:54:31,29,18,0.002093876,0.001283908
296903:5834,06/15/17 11:05:31,55,47,0.004763128,0.003748606
296904:5834,06/15/17 11:26:32,166,166,0.013367618,0.013190596
296965:5837,06/15/17 22:34:10,32,5,0.000000387,0.000000011
296966:5837,06/15/17 22:46:16,183,177,0.027940780,0.019863502
296967:5837,06/15/17 23:57:14,39,28,0.006136799,0.003178202
296968:5837,06/16/17 00:12:09,32,23,0.004937791,0.002053160
296969:5837,06/16/17 00:24:31,73,68,0.010942800,0.009912165
296970:5837,06/16/17 00:52:37,179,168,0.025142912,0.023046347
296971:5837,06/16/17 02:02:02,29,23,0.003868420,0.002584462
